trial_num,dictator,disrupted,p1get,p2get,p1get_ori,p2get_ori,score1,score2,score3,allocateRT,s1RT,s2RT,s3RT,answered_allocate,answered_s1,answered_s2,answered_s3
1,2,-2,3,7,1,9,2,4,2,8344.856,8356.2343,8352.7724,8359.5354,1,1,1,1
2,1,0,5,5,5,5,5,5,5,8379.0384,8379.8233,8384.4862,8386.1081,1,1,1,1
3,1,0,5,5,5,5,5,4,5,8404.9623,8408.025,8410.0759,8412.2556,1,1,1,1
4,1,0,6,4,6,4,4,3,4,8433.9375,8437.4804,8439.6931,8439.6448,1,1,1,1
5,2,-2,3,7,1,9,2,1,3,8456.3829,8469.0098,8461.9548,8472.1695,1,1,1,1
6,2,2,1,9,2,8,1,-1,1,8487.3147,8496.1924,0,8500.2919,1,1,0,1
7,2,0,2,8,2,8,1,1,2,8513.3465,8524.258,8520.088,8528.0326,1,1,1,1
8,2,-2,5,5,3,7,3,5,5,8540.5294,8552.7876,8548.3699,8556.293,1,1,1,1
9,1,0,7,3,7,3,2,2,2,8573.9406,8576.0136,8579.9685,8580.3706,1,1,1,1
10,2,0,3,7,3,7,1,2,2,8596.1215,8608.7912,8603.7817,8612.6748,1,1,1,1
11,1,2,3,7,1,9,2,7,2,8630.0387,8631.3161,8634.9907,8636.982,1,1,1,1
12,2,0,1,9,1,9,1,1,1,8653.4922,8664.4135,8658.9918,8668.3344,1,1,1,1
13,2,0,3,7,3,7,2,2,1,8679.7251,8693.1039,8685.9535,8696.0042,1,1,1,1
14,1,2,3,7,1,9,6,6,6,8714.646,8715.6886,8719.9544,8722.2937,1,1,1,1
15,2,-2,4,6,2,8,6,3,5,8735.452,8749.888,8744.3335,8752.6792,1,1,1,1
16,1,0,1,9,1,9,7,7,7,8768.8778,8772.3789,8775.7116,8774.887,1,1,1,1
17,2,2,1,9,2,8,2,1,1,8791.2653,8803.9673,8799.5761,8807.4696,1,1,1,1
18,2,0,1,9,1,9,2,1,1,8820.2881,8830.9959,8825.1924,8834.4319,1,1,1,1
19,1,-2,1,9,1,9,7,6,7,8852.0204,8854.075,8858.4837,8858.0477,1,1,1,1
20,2,2,1,9,1,9,2,1,1,8874.2844,8887.8456,8880.9009,8892.0348,1,1,1,1
21,1,-2,1,9,2,8,7,6,7,8908.2213,8908.723,8914.4958,8912.0264,1,1,1,1
22,1,-2,1,9,1,9,7,7,7,8935.0215,8936.3248,8940.747,8941.1687,1,1,1,1
23,1,2,3,7,1,9,6,-1,6,8963.0171,8965.0294,0,8967.9278,1,1,0,1
24,1,2,3,7,1,9,6,-1,6,0,8991.9934,8994.4126,8995.9738,0,1,1,1
25,2,0,2,8,2,8,5,2,3,9013.5746,9024.8676,9019.6313,9030.0339,1,1,1,1
26,2,2,1,9,2,8,1,1,1,9042.7651,9053.8812,9048.623,9057.4354,1,1,1,1
27,2,0,1,9,1,9,1,1,1,9070.6676,9081.9679,9076.5084,9086.2032,1,1,1,1
28,1,0,1,9,1,9,7,5,7,9104.7976,9105.8568,9110.7324,9109.432,1,1,1,1
29,1,0,2,8,2,8,7,5,7,9134.8568,9134.774,9139.3753,9137.8093,1,1,1,1
30,1,0,2,8,2,8,7,5,-1,9161.7671,9162.7249,9167.1526,0,1,1,1,0
31,1,-2,1,9,2,8,7,6,7,9189.0542,9190.1676,9196.2392,9194.0559,1,1,1,1
32,2,0,1,9,1,9,1,1,1,9211.5863,9222.9421,9217.2994,9226.8427,1,1,1,1
